configuration,run_index,scenario,status,error_type,error_message
without_safety_validation,0,mixed_119_high_isolated_high_adequate_critical,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_safety_validation,0,mixed_148_critical_stable_adequate_open,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_safety_validation,1,mixed_133_low_isolated_high_critical_critical,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_safety_validation,2,mixed_082_moderate_stable_critical_tight,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_safety_validation,2,mixed_109_moderate_multi_risk_adequate_critical,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_safety_validation,2,mixed_111_low_multi_risk_adequate_critical,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_safety_validation,2,mixed_140_critical_isolated_critical_critical_critical,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_safety_validation,2,mixed_150_moderate_isolated_high_adequate_open,failed,RuntimeError,ED Orchestration Agent LLM planning failed: Invalid control character at: line 24 column 168 (char 2851)
without_safety_validation,3,mixed_090_moderate_isolated_critical_adequate_tight,failed,RuntimeError,ED Orchestration Agent LLM planning failed: Invalid control character at: line 25 column 104 (char 3190)
without_safety_validation,4,mixed_013_low_multi_risk_adequate_open,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_safety_validation,4,mixed_017_low_stable_strained_open,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_safety_validation,4,mixed_098_moderate_stable_strained_tight,failed,RuntimeError,ED Orchestration Agent LLM planning failed: Invalid control character at: line 56 column 171 (char 3302)
without_safety_validation,4,mixed_112_critical_multi_risk_critical_tight,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_safety_validation,4,mixed_123_high_isolated_critical_strained_critical,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,0,mixed_057_low_isolated_critical_adequate_tight,failed,RuntimeError,"ED Orchestration Agent LLM planning failed: Expecting ',' delimiter: line 20 column 113 (char 1806)"
without_follow_up_tracking,0,mixed_101_low_isolated_high_adequate_tight,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,0,mixed_111_low_multi_risk_adequate_critical,failed,RuntimeError,ED Orchestration Agent LLM planning failed: Invalid control character at: line 34 column 154 (char 3051)
without_follow_up_tracking,0,mixed_150_moderate_isolated_high_adequate_open,failed,RuntimeError,"ED Orchestration Agent LLM planning failed: Expecting ',' delimiter: line 20 column 3 (char 2070)"
without_follow_up_tracking,0,mixed_159_high_multi_risk_adequate_open,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
without_follow_up_tracking,1,mixed_065_low_stable_critical_tight,failed,RuntimeError,ED Orchestration Agent LLM planning failed: LLM returned no recommendations.
